ER30001,ER30002,ER31996,ER31997,ER33401,ER33402,ER33403,Q1A33,Q1E12A,Q1F12A,Q1G11C,Q1K3A,Q1K3B,Q1K7,Q1K8,Q1K9,Q1K10,Q2A51,ER33601,ER33602,ER33603,Q21A19,Q21A20_2,Q21A23,Q21A24_2,Q21B11A1,Q21B12A1,Q21C7A_1,Q21C7A_2,Q21C7A_3,Q21C7A_4,Q21C7B_1,Q21C7B_2,Q21C7B_3,Q21C7B_4,Q21C10H,Q21C15A,Q21C15B,Q21C21A,Q21C21B,Q21C22H,Q21C27A,Q21C27B,Q21C28H,Q21C33A,Q21C33B,Q21C39A,Q21C39B,Q21G5D,Q21G10C,Q21G21A1,Q21G21A2,Q21H5C,Q21H8B,Q21H22B,Q21H22C,Q21H23A1,Q21H23B1,Q21H23C1,Q21H23D1,Q21H23E1,Q21H23F1,Q21H23G1,Q21H23H1,Q21H24J,Q21H24O,Q21H25J,Q21H25O,Q23L2,Q23L2A,Q23L4A5,ER33901,ER33902,ER33903,Q31B11A1,Q31B11A2,Q31B12A1,Q31B12A2,Q31C15A,Q31C15B,Q31C21A,Q31C21B,Q31C27A,Q31C27B,Q31C33A,Q31C33B,Q31C39A,Q31C39B,Q31H5C,Q31H8B,Q31H22B,Q31H22C,Q31H23A1,Q31H23B1,Q31H23C1,Q31H23D1,Q31H23E1,Q31H23F1,Q31H23G1,Q32JA34,Q33L2,Q33L2A,Q33L3F,Q33L3G,Q33L3H
319,173,19,1,468,2,20,,,,,,,,,,,,892,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,174,19,1,468,4,33,,,,,,,,,,,,892,71,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,4,19,1,1802,2,20,,,,,,,,,,,,419,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4539,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,5,19,1,3180,2,20,,,,,,,,,,,,852,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,30,19,1,1802,3,30,,,,,,,,,,,,419,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4822,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,31,19,1,3180,3,30,,,,,,,,,,,,852,3,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4138,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,32,19,1,1802,4,30,150,0,5,0,3,3,0,0,0,0,3000,419,4,30,1000,0,600,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,30,0,0,500,1500,100,1000,800,2400,300,1400,0,0,0,0,30,1,0,4539,51,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,170,19,1,1802,1,10,,,,,,,,,,,,419,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4539,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,174,19,1,3180,1,10,,,,,,,,,,,,852,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,175,19,1,3180,4,30,,,,,,,,,,,,852,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4416,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
