ER10002,ER10039,ER10040,ER10041,ER10042,ER10043,ER10044,ER10045,ER10046,ER10047,ER10048,ER10049,ER10050,ER10051,ER10052,ER10053,ER10054,ER10055,ER10056,ER10057,ER10058,ER10060,ER21002,ER21048,ER21049,ER21050,ER21051,ER21052,ER21053,ER21054,ER21055,ER21056,ER21057,ER21058,ER21059,ER21060,ER21061,ER21062,ER21063,ER21064,ER21065,ER21066,ER21067,ER21068,ER21069,ER21070,ER21072,ER22621,S606,S620,ER36002,ER36039,ER36040,ER36041,ER36042,ER36043,ER36044,ER36045,ER36046,ER36047,ER36048,ER36049,ER36050,ER36051,ER36052,ER36053,ER36054,ER36055,ER36056,ER36057,ER36058,ER36059,ER36060,ER36061,ER36062,ER36063,ER36065,ER37620,S806,S820
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425,5,0,0
,,,,,,,,,,,,,,,,,,,,,,5115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5,0,0,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,5,0,0
1112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,0,0,887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,5,0,0
5107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,5,0,0
4154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,6217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,1,1,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,5,0,0
,,,,,,,,,,,,,,,,,,,,,,6618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,5,0,0,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,5,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,5,0,0
,,,,,,,,,,,,,,,,,,,,,,5049,1,2,0,4000,0,250,0,7,0,1996,2,5,0,0,0,0,0,0,0,0,0,0,5,0,5,0,21000,482,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,45000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2208,1,3,0,58000,0,523,0,7,0,1,2001,27,1,7,0,15000,0,124,0,6,0,1,2001,11,1,0,1,1,22000
,,,,,,,,,,,,,,,,,,,,,,6465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,5,0,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,5,0,0
,,,,,,,,,,,,,,,,,,,,,,5294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,1,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,1,1,0
,,,,,,,,,,,,,,,,,,,,,,6425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4879,1,1,0,2,0,7000,0,521,0,18,0,0,0,1994,0,10,0,5,0,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,5672,1,1,2,50000,0,553,0,98,0,2001,28,5,0,0,0,0,0,0,0,0,0,0,5,0,1,1,45000,5963,1,1,2,69000,0,617,0,98,0,1,2004,26,5,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,26000
,,,,,,,,,,,,,,,,,,,,,,2507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,1,1,0,6742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,1,1,0
508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,1087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1,1,0,6917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,5,0,0
4969,1,1,4,1,0,28000,5000,438,162,7,11,500,0,1993,1991,11,9,1,0,1,0,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,1,1,0,7291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,5,0,0
2864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,7797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,1,0,8022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,6719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,5,0,0,6733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,5,0,0
,,,,,,,,,,,,,,,,,,,,,,5521,1,1,2,247000,0,17040,0,5,375,2003,30,5,0,0,0,0,0,0,0,0,0,0,1,0,1,1,13000,6905,1,1,2,220000,0,1800,0,5,375,1,2004,10,5,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,80000
361,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,993,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,130000,1005,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,300000
